PNo,行動回数,体力,敏捷,器用,魔力,精神,武器,スキル,CRIフラグ,必殺技フラグ,ダメージ
58,2,150,50,70,150,80,杖,通常攻撃,False,False,29
58,3,150,50,70,150,80,杖,通常攻撃,False,False,29
59,1,50,100,50,150,150,魔導石,マジックブラスト,False,False,90
59,2,50,100,50,150,150,魔導石,マジックアロー,False,False,49
59,3,50,100,50,150,150,魔導石,マジックアロー,False,False,51
60,1,60,50,130,130,130,魔導石,マジックブラスト,False,False,73
60,2,60,50,130,130,130,魔導石,マジックアロー,False,False,50
60,3,60,50,130,130,130,魔導石,マジックブラスト,False,False,69
61,1,150,50,50,150,100,魔導石,マジックブレイク,False,False,76
61,2,150,50,50,150,100,魔導石,マジックブレイク,False,True,77
61,3,150,50,50,150,100,魔導石,マジックブレイク,False,False,67
62,1,150,50,100,50,150,網,通常攻撃,True,False,19
62,3,150,50,100,50,150,網,通常攻撃,True,False,19
63,1,150,150,100,50,50,格闘,通常攻撃,False,False,6
63,2,150,150,100,50,50,格闘,通常攻撃,False,False,11
63,3,150,150,100,50,50,格闘,通常攻撃,False,False,11
63,4,150,150,100,50,50,格闘,通常攻撃,True,False,21
64,2,150,50,50,100,150,魔導石,通常攻撃,False,False,41
65,2,90,150,120,50,90,格闘,通常攻撃,False,False,8
65,4,90,150,120,50,90,格闘,通常攻撃,False,False,8
66,1,100,50,50,150,150,魔導石,マジックアロー,False,False,56
66,2,100,50,50,150,150,魔導石,マジックアロー,False,False,52
66,3,100,50,50,150,150,魔導石,マジックアロー,False,False,67
68,1,50,50,100,150,150,魔導石,マジックアロー,False,True,82
68,2,50,50,100,150,150,魔導石,マジックブレイク,False,False,91
68,3,50,50,100,150,150,魔導石,マジックブレイク,False,False,87
70,1,150,80,80,90,100,槍,チャージ,False,False,30
70,2,150,80,80,90,100,槍,チャージ,False,False,36
70,3,150,80,80,90,100,槍,チャージ,False,False,29
71,1,150,120,130,50,50,長剣,スラッシュ,False,False,41
71,3,150,120,130,50,50,長剣,スラッシュ,False,False,22
72,1,150,150,100,50,50,格闘,チャージ,False,True,21
72,3,150,150,100,50,50,格闘,チャージ,False,False,13
72,4,150,150,100,50,50,格闘,チャージ,False,False,10
73,1,100,150,150,50,50,格闘,スラッシュ,False,False,13
73,2,100,150,150,50,50,格闘,スラッシュ,False,False,16
74,2,150,150,100,50,50,銛,スラッシュ,True,False,54
74,3,150,150,100,50,50,銛,スラッシュ,False,False,26
75,2,100,50,50,150,150,杖,通常攻撃,False,False,17
75,3,100,50,50,150,150,杖,通常攻撃,False,False,29
76,1,140,70,80,60,150,魔導石,通常攻撃,False,False,24
76,2,140,70,80,60,150,魔導石,通常攻撃,False,False,21
76,3,140,70,80,60,150,魔導石,通常攻撃,False,False,21
77,2,50,50,100,150,150,魔導石,通常攻撃,False,False,45
78,1,100,50,50,150,150,網,通常攻撃,True,False,11
78,2,100,50,50,150,150,網,通常攻撃,False,False,5
79,1,120,100,80,150,50,魔導石,マジックアロー,False,False,44
79,2,120,100,80,150,50,魔導石,マジックアロー,False,False,65
79,3,120,100,80,150,50,魔導石,マジックアロー,False,False,57
80,1,130,50,120,100,100,短剣,通常攻撃,False,False,8
80,3,130,50,120,100,100,短剣,通常攻撃,False,False,10
81,1,100,150,120,80,50,銛,シュート,False,False,16
81,2,100,150,120,80,50,銛,シュート,False,False,16
81,3,100,150,120,80,50,銛,シュート,False,False,16
82,2,150,50,150,50,100,錨,スラッシュ,False,False,55
83,1,60,60,120,150,110,杖,マジックブレイク,False,False,90
83,2,60,60,120,150,110,杖,マジックブレイク,False,False,90
83,3,60,60,120,150,110,杖,マジックブレイク,False,True,108
84,2,50,150,100,50,150,網,通常攻撃,False,False,4
84,3,50,150,100,50,150,網,通常攻撃,False,False,5
85,1,50,50,100,150,150,魔導石,マジックアロー,False,False,74
85,2,50,50,100,150,150,魔導石,マジックアロー,False,False,72
85,3,50,50,100,150,150,魔導石,マジックアロー,False,False,63
86,1,50,50,100,150,150,杖,マジックブラスト,False,True,101
86,2,50,50,100,150,150,杖,マジックブラスト,False,False,80
86,3,50,50,100,150,150,杖,マジックアロー,False,False,63
87,2,100,150,150,50,50,短剣,チャージ,False,False,13
87,3,100,150,150,50,50,短剣,チャージ,False,False,16
88,3,100,150,150,50,50,短剣,マジックアロー,False,False,20
89,1,130,50,50,120,150,魔導石,通常攻撃,False,False,42
89,2,130,50,50,120,150,魔導石,通常攻撃,False,False,48
89,3,130,50,50,120,150,魔導石,通常攻撃,False,False,34
90,2,60,80,120,120,120,魔導石,マジックアロー,False,False,51
90,3,60,80,120,120,120,魔導石,マジックアロー,False,False,55
91,1,80,50,120,130,120,魔導石,マジックアロー,False,False,47
91,2,80,50,120,130,120,魔導石,マジックアロー,False,False,58
91,3,80,50,120,130,120,魔導石,マジックブラスト,False,False,61
92,1,60,140,100,140,60,杖,マジックブラスト,False,False,76
92,2,60,140,100,140,60,杖,マジックブラスト,False,False,58
92,3,60,140,100,140,60,杖,マジックブラスト,False,False,57
93,1,150,50,50,120,130,魔導石,マジックブラスト,False,False,53
93,3,150,50,50,120,130,魔導石,マジックブラスト,False,True,68
94,1,50,50,130,150,120,魔導石,マジックブレイク,False,False,87
94,2,50,50,130,150,120,魔導石,マジックブレイク,False,False,92
94,3,50,50,130,150,120,魔導石,マジックブレイク,False,False,80
95,1,130,80,130,80,80,槍,スラッシュ,True,False,64
95,2,130,80,130,80,80,槍,スラッシュ,False,False,34
95,3,130,80,130,80,80,槍,スラッシュ,False,False,28
96,1,150,100,150,50,50,槍,スラッシュ,False,False,29
96,2,150,100,150,50,50,槍,スラッシュ,False,False,34
96,3,150,100,150,50,50,槍,スラッシュ,False,False,34
97,1,100,120,150,50,80,細剣,チャージ,False,False,17
97,2,100,120,150,50,80,細剣,チャージ,False,False,26
97,3,100,120,150,50,80,細剣,チャージ,False,False,25
98,1,150,150,100,50,50,短剣,スラッシュ,False,False,13
98,2,150,150,100,50,50,短剣,スラッシュ,False,False,8
98,3,150,150,100,50,50,短剣,スラッシュ,False,False,11
99,2,50,150,50,100,150,魔導石,通常攻撃,False,False,38
99,3,50,150,50,100,150,魔導石,通常攻撃,False,False,27
100,1,150,50,150,50,100,斧,スラッシュ,False,False,85
100,3,150,50,150,50,100,斧,スラッシュ,False,False,47
101,1,150,50,100,50,150,槍,チャージ,False,False,39
102,1,150,100,50,50,150,格闘,スラッシュ,False,False,8
102,2,150,100,50,50,150,格闘,スラッシュ,False,False,11
102,4,150,100,50,50,150,格闘,スラッシュ,False,False,14
103,2,70,150,70,90,120,魔導石,マジックアロー,False,False,44
103,3,70,150,70,90,120,魔導石,マジックアロー,False,False,30
104,1,100,50,50,150,150,魔導石,マジックアロー,False,False,66
104,2,100,50,50,150,150,魔導石,マジックアロー,False,False,63
104,3,100,50,50,150,150,魔導石,マジックアロー,False,False,55
105,2,150,50,50,100,150,魔導石,通常攻撃,False,False,33
105,3,150,50,50,100,150,魔導石,通常攻撃,False,False,34
106,1,50,100,100,150,100,魔導石,マジックブラスト,False,False,83
107,2,50,50,100,150,150,魔導石,マジックアロー,False,False,62
108,1,150,150,100,50,50,長剣,スラッシュ,False,False,35
108,2,150,150,100,50,50,長剣,スラッシュ,False,False,21
108,3,150,150,100,50,50,長剣,スラッシュ,False,False,27
109,3,100,120,150,50,80,槍,スラッシュ,False,False,36
110,2,150,150,100,50,50,格闘,スラッシュ,False,False,18
110,3,150,150,100,50,50,格闘,スラッシュ,False,False,10
110,4,150,150,100,50,50,格闘,スラッシュ,False,False,10
110,5,150,150,100,50,50,格闘,スラッシュ,False,False,14
111,1,120,100,70,110,100,格闘,スラッシュ,False,False,7
112,1,110,50,70,120,150,細剣,マジックブラスト,False,False,65
112,2,110,50,70,120,150,細剣,マジックブラスト,False,False,71
112,3,110,50,70,120,150,細剣,マジックブラスト,False,False,59
113,1,150,100,100,60,90,長剣,スラッシュ,False,False,31
113,3,150,100,100,60,90,長剣,スラッシュ,False,False,35
114,1,50,50,100,150,150,杖,スラッシュ,False,False,9
114,3,50,50,100,150,150,杖,スラッシュ,False,False,5
115,1,150,50,50,100,150,魔導石,通常攻撃,False,False,38
115,2,150,50,50,100,150,魔導石,通常攻撃,False,False,29
115,3,150,50,50,100,150,魔導石,通常攻撃,False,False,31
116,2,50,150,50,150,100,魔導石,マジックアロー,False,False,56
116,3,50,150,50,150,100,魔導石,マジックアロー,False,False,60
117,2,150,150,100,50,50,長剣,スラッシュ,False,False,20
117,3,150,150,100,50,50,長剣,チャージ,False,False,22
118,1,120,100,120,50,110,長剣,スラッシュ,False,False,28
118,3,120,100,120,50,110,長剣,スラッシュ,False,False,29
120,1,50,50,100,150,150,魔導石,マジックアロー,False,True,77
120,3,50,50,100,150,150,魔導石,マジックアロー,False,False,70
121,1,130,120,110,50,90,長剣,スラッシュ,False,False,20
122,1,50,100,50,150,150,魔導石,マジックアロー,False,False,54
122,2,50,100,50,150,150,魔導石,マジックアロー,False,False,70
122,3,50,100,50,150,150,魔導石,マジックアロー,False,True,84
123,2,150,50,150,50,100,錨,チャージ,False,False,53
123,3,150,50,150,50,100,錨,チャージ,False,False,98
124,3,70,130,90,120,90,魔導石,マジックアロー,False,False,55
125,1,50,50,150,100,150,杖,通常攻撃,False,False,18
125,2,50,50,150,100,150,杖,通常攻撃,False,False,21
125,3,50,50,150,100,150,杖,通常攻撃,False,False,14
127,1,150,50,150,50,100,短剣,スラッシュ,False,True,19
127,2,150,50,150,50,100,短剣,スラッシュ,True,False,36
127,3,150,50,150,50,100,短剣,スラッシュ,False,False,17
128,1,60,110,80,130,120,杖,マジックアロー,False,False,45
129,2,60,110,80,130,120,杖,マジックアロー,False,False,43
129,3,60,110,80,130,120,杖,マジックアロー,False,False,57
131,2,120,110,110,50,110,格闘,チャージ,False,False,8
131,3,120,110,110,50,110,格闘,チャージ,True,False,29
131,4,120,110,110,50,110,格闘,チャージ,False,False,11
132,2,150,150,100,50,50,短剣,スラッシュ,False,False,18
132,3,150,150,100,50,50,短剣,スラッシュ,False,False,17
133,2,70,150,120,80,80,短剣,スラッシュ,False,False,12
134,2,150,50,150,50,100,錨,チャージ,False,False,45
134,3,150,50,150,50,100,錨,チャージ,False,False,66
135,1,100,50,100,150,100,槍,マジックアロー,False,True,79
135,2,100,50,100,150,100,槍,マジックアロー,False,False,53
135,3,100,50,100,150,100,槍,マジックアロー,False,False,56
136,1,150,50,100,150,50,銛,マジックブレイク,False,False,72
136,2,150,50,100,150,50,銛,マジックブレイク,False,False,84
136,3,150,50,100,150,50,銛,マジックブレイク,False,False,75
137,1,120,130,150,50,50,細剣,シュート,False,False,18
137,2,120,130,150,50,50,細剣,シュート,False,False,18
137,3,120,130,150,50,50,細剣,シュート,False,True,30
138,1,150,50,100,50,150,錨,通常攻撃,False,False,32
138,2,150,50,100,50,150,錨,通常攻撃,False,False,49
139,2,50,100,100,150,100,魔導石,マジックブラスト,False,False,69
139,3,50,100,100,150,100,魔導石,マジックブラスト,False,False,89
140,1,150,60,50,90,150,魔導石,マジックブラスト,False,False,44
140,2,150,60,50,90,150,魔導石,マジックブラスト,False,False,42
140,3,150,60,50,90,150,魔導石,マジックブラスト,False,False,54
141,1,150,50,50,150,100,ボウガン,マジックアロー,False,False,61
141,2,150,50,50,150,100,ボウガン,マジックアロー,False,False,50
141,3,150,50,50,150,100,ボウガン,マジックアロー,False,False,58
142,2,100,150,150,50,50,短剣,スラッシュ,False,False,17
142,3,100,150,150,50,50,短剣,スラッシュ,True,False,34
143,1,100,50,50,150,150,魔導石,通常攻撃,False,False,48
143,2,100,50,50,150,150,魔導石,通常攻撃,False,False,59
143,3,100,50,50,150,150,魔導石,通常攻撃,False,False,55
145,1,150,50,100,50,150,錨,スラッシュ,False,False,57
145,2,150,50,100,50,150,錨,スラッシュ,False,False,53
146,1,150,130,120,50,50,斧,スラッシュ,False,False,41
146,2,150,130,120,50,50,斧,スラッシュ,False,False,82
147,1,150,100,150,50,50,錨,シュート,False,True,80
147,2,150,100,150,50,50,錨,シュート,False,False,33
147,3,150,100,150,50,50,錨,シュート,False,False,39
148,1,50,50,100,150,150,杖,マジックアロー,False,False,66
148,2,50,50,100,150,150,杖,マジックアロー,False,False,64
148,3,50,50,100,150,150,杖,マジックアロー,False,False,72
149,2,150,50,100,50,150,長剣,スラッシュ,False,False,16
149,3,150,50,100,50,150,長剣,スラッシュ,True,False,57
150,2,100,150,150,50,50,細剣,スラッシュ,False,False,22
150,3,100,150,150,50,50,細剣,スラッシュ,False,True,26
151,1,150,50,100,50,150,錨,スラッシュ,False,False,46
151,2,150,50,100,50,150,錨,スラッシュ,False,False,51
152,1,100,80,80,120,120,魔導石,通常攻撃,False,False,43
152,2,100,80,80,120,120,魔導石,通常攻撃,False,False,32
152,3,100,80,80,120,120,魔導石,通常攻撃,False,False,35
153,1,130,110,100,70,90,格闘,スラッシュ,False,False,14
153,2,130,110,100,70,90,格闘,スラッシュ,False,False,12
153,3,130,110,100,70,90,格闘,スラッシュ,False,False,10
153,4,130,110,100,70,90,格闘,スラッシュ,False,False,12
154,1,100,50,100,150,100,魔導石,マジックブレイク,False,False,81
154,2,100,50,100,150,100,魔導石,マジックブレイク,False,False,73
154,3,100,50,100,150,100,魔導石,マジックブレイク,False,True,96
155,1,130,150,50,50,120,銛,通常攻撃,False,False,12
155,3,130,150,50,50,120,銛,通常攻撃,True,False,22
156,1,100,150,150,50,50,短剣,スラッシュ,False,False,16
156,2,100,150,150,50,50,短剣,スラッシュ,False,False,17
156,3,100,150,150,50,50,短剣,スラッシュ,False,False,12
157,2,90,130,150,50,80,細剣,スラッシュ,False,False,18
157,3,90,130,150,50,80,細剣,スラッシュ,False,False,17
158,2,150,110,90,60,90,槍,スラッシュ,False,False,27
159,1,100,100,100,50,150,細剣,シュート,True,False,35
159,2,100,100,100,50,150,細剣,シュート,False,False,15
159,3,100,100,100,50,150,細剣,シュート,False,False,14
160,2,150,100,50,50,150,魔導石,マジックアロー,False,False,18
160,3,150,100,50,50,150,魔導石,マジックアロー,False,False,25
161,1,150,100,150,50,50,ボウガン,スラッシュ,False,False,28
161,2,150,100,150,50,50,ボウガン,スラッシュ,False,False,26
161,3,150,100,150,50,50,ボウガン,スラッシュ,False,False,28
162,2,150,100,150,50,50,錨,チャージ,False,False,47
162,3,150,100,150,50,50,錨,チャージ,False,True,114
163,1,150,150,100,50,50,格闘,スラッシュ,False,False,9
163,2,150,150,100,50,50,格闘,スラッシュ,False,False,17
163,3,150,150,100,50,50,格闘,スラッシュ,False,False,10
163,4,150,150,100,50,50,格闘,スラッシュ,True,False,30
164,1,100,50,50,150,150,魔導石,マジックアロー,False,False,60
164,2,100,50,50,150,150,魔導石,マジックアロー,False,False,56
164,3,100,50,50,150,150,魔導石,マジックアロー,False,False,67
165,1,50,100,150,50,150,短剣,通常攻撃,False,False,7
165,2,50,100,150,50,150,短剣,通常攻撃,False,False,5
165,3,50,100,150,50,150,短剣,通常攻撃,False,False,6
166,1,110,60,120,60,150,槍,通常攻撃,True,False,36
166,2,110,60,120,60,150,槍,通常攻撃,False,False,17
166,3,110,60,120,60,150,槍,通常攻撃,False,False,19
168,1,110,150,100,50,90,短剣,スラッシュ,False,False,15
168,2,110,150,100,50,90,短剣,スラッシュ,False,False,9
169,1,50,100,150,150,50,ボウガン,マジックアロー,False,False,71
169,2,50,100,150,150,50,ボウガン,マジックアロー,False,False,54
169,3,50,100,150,150,50,ボウガン,マジックアロー,False,False,72
172,1,50,50,150,150,100,魔導石,マジックアロー,False,False,75
172,2,50,50,150,150,100,魔導石,マジックアロー,False,False,69
172,3,50,50,150,150,100,魔導石,マジックアロー,False,False,55
173,1,150,150,100,50,50,短剣,スラッシュ,False,False,17
173,2,150,150,100,50,50,短剣,スラッシュ,False,False,16
173,3,150,150,100,50,50,短剣,スラッシュ,False,False,9
174,1,130,130,100,70,70,短剣,スラッシュ,False,False,16
174,2,130,130,100,70,70,短剣,スラッシュ,False,False,13
174,3,130,130,100,70,70,短剣,スラッシュ,False,False,10
176,1,150,50,50,150,100,魔導石,マジックブレイク,False,False,81
176,2,150,50,50,150,100,魔導石,マジックブレイク,False,False,70
176,3,150,50,50,150,100,魔導石,マジックブレイク,False,False,81
177,1,100,150,150,50,50,斧,スラッシュ,False,False,57
177,3,100,150,150,50,50,斧,スラッシュ,False,False,40
178,2,150,50,50,100,150,杖,通常攻撃,False,False,16
178,3,150,50,50,100,150,杖,通常攻撃,False,False,23
179,1,150,100,150,50,50,槍,チャージ,False,False,23
179,2,150,100,150,50,50,槍,チャージ,False,False,43
179,3,150,100,150,50,50,槍,チャージ,False,False,30
180,1,100,50,50,150,150,魔導石,マジックアロー,False,False,68
181,1,150,110,110,50,80,銛,スラッシュ,False,True,21
181,2,150,110,110,50,80,銛,スラッシュ,False,False,21
181,3,150,110,110,50,80,銛,スラッシュ,True,False,54
182,3,80,150,110,80,80,斧,スラッシュ,True,False,98
183,1,100,70,70,130,130,魔導石,マジックアロー,False,False,49
183,3,100,70,70,130,130,魔導石,マジックアロー,False,False,42
184,1,100,150,130,50,70,長剣,スラッシュ,True,False,64
184,2,100,150,130,50,70,長剣,スラッシュ,False,False,30
184,3,100,150,130,50,70,長剣,スラッシュ,False,False,27
185,2,150,150,50,50,100,槍,スラッシュ,False,False,14
186,1,60,130,60,150,100,魔導石,マジックアロー,False,False,61
186,2,60,130,60,150,100,魔導石,マジックアロー,False,False,62
187,2,130,120,100,70,80,短剣,チャージ,False,False,16
188,1,100,100,100,100,100,魔導石,通常攻撃,False,False,36
188,2,100,100,100,100,100,魔導石,通常攻撃,False,False,35
188,3,100,100,100,100,100,魔導石,通常攻撃,False,False,30
190,2,150,50,130,50,120,錨,チャージ,False,False,50
191,1,50,50,100,150,150,魔導石,マジックアロー,False,False,55
191,2,50,50,100,150,150,魔導石,マジックアロー,False,False,63
191,3,50,50,100,150,150,魔導石,マジックアロー,False,False,55
192,1,50,100,150,50,150,ボウガン,シュート,False,False,15
192,2,50,100,150,50,150,ボウガン,シュート,False,False,18
193,1,80,120,120,100,80,ボウガン,マジックアロー,False,False,50
193,2,80,120,120,100,80,ボウガン,マジックアロー,False,False,43
193,3,80,120,120,100,80,ボウガン,マジックアロー,False,False,45
194,1,150,110,110,50,80,銛,チャージ,False,False,23
194,2,150,110,110,50,80,銛,チャージ,False,False,19
194,3,150,110,110,50,80,銛,チャージ,True,False,47
195,1,100,150,150,50,50,短剣,シュート,False,False,14
195,2,100,150,150,50,50,短剣,シュート,False,False,11
195,3,100,150,150,50,50,短剣,シュート,False,False,9
196,1,50,50,100,150,150,魔導石,マジックアロー,False,False,70
196,2,50,50,100,150,150,魔導石,マジックアロー,False,False,56
196,3,50,50,100,150,150,魔導石,マジックアロー,False,False,71
197,2,150,100,100,50,100,斧,チャージ,False,False,80
198,2,100,150,50,150,50,杖,マジックアロー,False,False,59
198,3,100,150,50,150,50,杖,マジックアロー,False,False,48
200,1,80,90,100,120,110,魔導石,通常攻撃,False,False,42
200,2,80,90,100,120,110,魔導石,通常攻撃,False,False,34
200,3,80,90,100,120,110,魔導石,通常攻撃,False,False,34
201,2,150,150,100,50,50,短剣,通常攻撃,False,False,13
201,3,150,150,100,50,50,短剣,通常攻撃,False,False,7
